No,Bahan,Satuan (gr),Protein(gr),Lemak(gr),Karbohidrat(gr),Protein(kal),Lemak(kal),Karbohidrat(kal),Harga (IDR),total kalori
139,Rajungan,100,12.1,2,2.4,48.4,18,9.6,7300,76
140,Tomat merah,50,1.3,0.5,4.7,5.2,4.5,18.8,1890,28.5
141,Ikan kuro,100,16,2.2,1,64,19.8,4,13500,87.8
142,Sagu aren,100,0.6,0.2,56.6,2.4,1.8,226.4,2000,230.6
143,Keong,150,12,1,2,48,9,8,3750,65
144,Telur bebek alabio,80,11.8,14.2,3,47.2,127.8,12,4900,187
145,Koro roay,100,12.5,2.1,69.4,50,18.9,277.6,6000,346.5
146,Kuning telur ayam ras,30,16.3,31.9,0.7,65.2,287.1,2.8,1375,355.1
147,Sagu lempeng,100,0.9,0.3,85.2,3.6,2.7,340.8,5000,347.1
148,Daun simpur,100,3.2,2.5,7.6,12.8,22.5,30.4,13000,65.7
149,Seledri,100,1,0.1,4.6,4,0.9,18.4,3200,23.3
150,Kepiting,150,13.8,3.8,14.1,55.2,34.2,56.4,12600,145.8
151,Umbut rotan,100,2.4,0.3,5.5,9.6,2.7,22,5000,34.3
152,Koro benguk,100,24,3,55,96,27,220,1800,343
153,Daun ubi merah,100,3,0.3,10.8,12,2.7,43.2,1500,57.9
154,Manggis,100,0.6,0.6,15.6,2.4,5.4,62.4,2290,70.2
155,Daun kacang ma,100,2.9,0.6,6.8,11.6,5.4,27.2,15000,44.2
156,Koro wedus,100,22.2,1.5,61,88.8,13.5,244,4000,346.3
157,Buah arbai,200,1.6,1,16.6,6.4,9,66.4,10000,81.8
158,"Belitung, talas",100,1.2,0.4,34.2,4.8,3.6,136.8,11000,145.2
159,Daun semanggi,100,4.4,0.5,8.5,17.6,4.5,34,7000,56.1
160,Gembili,200,2.2,0.4,62.6,8.8,3.6,250.4,6000,262.8
161,Markisa,100,3.5,1.2,29.8,14,10.8,119.2,4180,144
162,Daun pangi,100,3.9,0.6,17.9,15.6,5.4,71.6,15000,92.6
163,"Sente, talas",100,0.7,0.2,84.7,2.8,1.8,338.8,2000,343.4
164,Buah rukam,100,0.8,0.3,26.8,3.2,2.7,107.2,7000,113.1
165,Udang galah,100,16.5,0.3,3,66,2.7,12,26500,80.7
166,Daun paku,100,3.4,0.1,6.5,13.6,0.9,26,10400,40.5
167,"Keribang, ubi",100,1.3,1.1,29.8,5.2,9.9,119.2,4400,134.3
168,Sagu kasbi segar,100,0.6,0.2,56.5,2.4,1.8,226,6400,230.2
169,Ubi jalar tinta,100,0.5,0.4,25.6,2,3.6,102.4,2700,108
170,Daun mengkudu,100,4,1.7,11.4,16,15.3,45.6,5400,76.9
171,Sirsak,100,1,0.3,16.3,4,2.7,65.2,1950,71.9
172,Cantel,100,11,3.3,73,44,29.7,292,9000,365.7
173,Daun gedi,100,2.9,0.7,10,11.6,6.3,40,4000,57.9
174,Beras menir,200,15.4,8.8,146,61.6,79.2,584,1000,724.8
175,Melon,100,0.6,0.4,7.8,2.4,3.6,31.2,3450,37.2
176,Daun ndusuk,100,1.7,0.5,38.8,6.8,4.5,155.2,5000,166.5
177,Ikan kembung,100,21.3,3.4,2.2,85.2,30.6,8.8,3800,124.6
178,Kacang tanah sangan/sangrai,100,29.5,43,24.1,118,387,96.4,6000,601.4
179,Bentul(komba),200,3.2,1.4,41.8,12.8,12.6,167.2,3140,192.6
180,Suweg,100,1.4,0.1,17.2,5.6,0.9,68.8,1000,75.3
181,Daun jonghe,100,2.1,0.7,4.4,8.4,6.3,17.6,6000,32.3
182,Daun gunda bali,100,4.6,0.9,7,18.4,8.1,28,1000,54.5
183,Matoa,100,1.2,0.1,21.1,4.8,0.9,84.4,5000,90.1
184,Kacang kincai,100,19.9,16,55,79.6,144,220,5250,443.6
185,Ubi jalar putih,200,0.8,0.8,41.2,3.2,7.2,164.8,2040,175.2
186,Kacang bogor,100,16,6,65,64,54,260,13000,378
187,Daun katuk,100,6.4,1,9.9,25.6,9,39.6,5000,74.2
188,Kerang,100,14.4,2.6,3.9,57.6,23.4,15.6,8551,96.6
189,Ikan teri,100,10.3,1.4,4.1,41.2,12.6,16.4,7827,70.2
190,Talas bogor,200,2.8,0.8,50,11.2,7.2,200,4200,218.4
191,Gandaria masak,200,1.4,0.2,36,5.6,1.8,144,21600,151.4
192,Daun kemang,100,5.5,0.3,7.5,22,2.7,30,4000,54.7
193,Buah duwet,300,1.5,1.8,54.6,6,16.2,218.4,11550,240.6
194,Kacang ercis,100,12.4,0.7,18.3,49.6,6.3,73.2,4800,129.1
195,Daun kenikir,100,3.7,0.5,6.6,14.8,4.5,26.4,2154,45.7
196,Sente talas,100,0.7,0.2,84.7,2.8,1.8,338.8,3000,343.4
197,Sawo kecik,250,2.25,5.75,54,9,51.75,216,6250,276.75
198,Ikan sarden,100,19.9,1.8,3.4,79.6,16.2,13.6,4000,109.4
199,Saga merah terkupas,80,24.48,20.4,25.52,97.92,183.6,102.08,10905,383.6
